timestamp,temperature_C,humidity_pct,soil_moisture_pct,light_lux,condition,cycle_id
2026-07-10 18:00:00,25.69,55.56,88.79,149.7,indoor,indoor_cycle04
2026-07-10 19:00:00,27.52,53.67,87.63,140.2,indoor,indoor_cycle04
2026-07-10 20:00:00,26.41,59.62,86.89,161.7,indoor,indoor_cycle04
2026-07-10 21:00:00,26.35,57.77,85.89,166.4,indoor,indoor_cycle04
2026-07-10 22:00:00,26.64,57.92,84.84,177.6,indoor,indoor_cycle04
2026-07-10 23:00:00,25.9,55.37,84.24,174.1,indoor,indoor_cycle04
2026-07-11 00:00:00,26.22,54.02,83.0,150.6,indoor,indoor_cycle04
2026-07-11 01:00:00,26.11,55.12,81.93,122.8,indoor,indoor_cycle04
2026-07-11 02:00:00,26.39,60.41,81.01,143.8,indoor,indoor_cycle04
2026-07-11 03:00:00,26.15,58.94,80.08,148.1,indoor,indoor_cycle04
2026-07-11 04:00:00,26.36,55.47,79.17,141.1,indoor,indoor_cycle04
2026-07-11 05:00:00,26.64,52.43,78.53,152.7,indoor,indoor_cycle04
2026-07-11 06:00:00,26.72,51.19,77.57,138.8,indoor,indoor_cycle04
2026-07-11 07:00:00,27.33,54.19,76.12,149.2,indoor,indoor_cycle04
2026-07-11 08:00:00,25.88,48.25,75.36,178.8,indoor,indoor_cycle04
2026-07-11 09:00:00,26.45,55.0,74.59,183.2,indoor,indoor_cycle04
2026-07-11 10:00:00,26.53,55.02,73.66,197.6,indoor,indoor_cycle04
2026-07-11 11:00:00,28.56,49.91,72.89,158.1,indoor,indoor_cycle04
2026-07-11 12:00:00,27.47,53.11,71.81,185.2,indoor,indoor_cycle04
2026-07-11 13:00:00,26.7,56.19,70.5,187.0,indoor,indoor_cycle04
2026-07-11 14:00:00,27.5,53.98,69.4,196.0,indoor,indoor_cycle04
2026-07-11 15:00:00,27.45,56.56,68.25,182.2,indoor,indoor_cycle04
2026-07-11 16:00:00,26.7,57.35,66.8,156.5,indoor,indoor_cycle04
2026-07-11 17:00:00,26.36,50.78,66.12,162.9,indoor,indoor_cycle04
2026-07-11 18:00:00,26.5,53.37,65.84,141.1,indoor,indoor_cycle04
2026-07-11 19:00:00,25.73,48.94,64.76,118.3,indoor,indoor_cycle04
2026-07-11 20:00:00,26.47,56.06,63.92,130.7,indoor,indoor_cycle04
2026-07-11 21:00:00,26.0,52.1,62.81,180.1,indoor,indoor_cycle04
2026-07-11 22:00:00,25.87,55.07,62.57,154.2,indoor,indoor_cycle04
2026-07-11 23:00:00,25.85,53.3,61.81,130.0,indoor,indoor_cycle04
2026-07-12 00:00:00,27.08,56.6,60.78,138.6,indoor,indoor_cycle04
2026-07-12 01:00:00,26.84,57.31,60.13,151.2,indoor,indoor_cycle04
2026-07-12 02:00:00,26.42,55.98,59.09,167.9,indoor,indoor_cycle04
2026-07-12 03:00:00,26.63,53.66,58.18,176.3,indoor,indoor_cycle04
2026-07-12 04:00:00,27.25,53.28,57.27,184.7,indoor,indoor_cycle04
2026-07-12 05:00:00,25.61,53.79,56.29,143.6,indoor,indoor_cycle04
2026-07-12 06:00:00,26.31,53.57,54.8,149.5,indoor,indoor_cycle04
2026-07-12 07:00:00,27.42,55.44,53.88,161.1,indoor,indoor_cycle04
2026-07-12 08:00:00,27.12,51.19,53.47,164.9,indoor,indoor_cycle04
2026-07-12 09:00:00,27.3,54.85,52.05,168.6,indoor,indoor_cycle04
2026-07-12 10:00:00,26.56,49.17,50.78,189.1,indoor,indoor_cycle04
2026-07-12 11:00:00,28.46,51.44,49.82,210.2,indoor,indoor_cycle04
2026-07-12 12:00:00,27.4,54.71,49.31,203.0,indoor,indoor_cycle04
2026-07-12 13:00:00,28.33,56.04,48.22,176.1,indoor,indoor_cycle04
2026-07-12 14:00:00,27.6,53.49,47.46,173.6,indoor,indoor_cycle04
2026-07-12 15:00:00,27.05,56.16,46.63,189.2,indoor,indoor_cycle04
2026-07-12 16:00:00,27.21,46.63,46.24,193.0,indoor,indoor_cycle04
2026-07-12 17:00:00,26.17,51.55,45.01,134.5,indoor,indoor_cycle04
2026-07-12 18:00:00,25.72,55.87,44.02,149.1,indoor,indoor_cycle04
2026-07-12 19:00:00,26.05,51.79,43.32,169.9,indoor,indoor_cycle04
2026-07-12 20:00:00,25.07,53.93,42.21,180.0,indoor,indoor_cycle04
2026-07-12 21:00:00,25.79,54.13,40.74,143.6,indoor,indoor_cycle04
2026-07-12 22:00:00,26.23,56.08,39.82,170.6,indoor,indoor_cycle04
2026-07-12 23:00:00,25.84,54.51,38.98,148.6,indoor,indoor_cycle04
2026-07-13 00:00:00,26.44,55.13,38.15,164.7,indoor,indoor_cycle04
2026-07-13 01:00:00,26.05,50.0,37.2,168.3,indoor,indoor_cycle04
2026-07-13 02:00:00,26.6,47.76,36.39,191.8,indoor,indoor_cycle04
2026-07-13 03:00:00,26.66,52.4,35.85,162.3,indoor,indoor_cycle04
2026-07-13 04:00:00,25.63,59.79,34.94,146.2,indoor,indoor_cycle04
2026-07-13 05:00:00,26.52,56.24,33.98,153.0,indoor,indoor_cycle04
2026-07-13 06:00:00,27.44,54.86,32.82,154.0,indoor,indoor_cycle04
2026-07-13 07:00:00,27.05,57.32,32.27,173.1,indoor,indoor_cycle04
2026-07-13 08:00:00,27.73,50.88,31.59,176.1,indoor,indoor_cycle04
2026-07-13 09:00:00,27.02,54.05,30.52,184.7,indoor,indoor_cycle04
2026-07-13 10:00:00,28.27,53.97,29.27,179.8,indoor,indoor_cycle04
2026-07-13 11:00:00,28.16,49.52,28.09,200.6,indoor,indoor_cycle04
2026-07-13 12:00:00,27.32,55.94,27.07,187.0,indoor,indoor_cycle04
2026-07-13 13:00:00,27.35,52.62,26.53,166.7,indoor,indoor_cycle04
2026-07-13 14:00:00,28.26,50.72,26.22,164.8,indoor,indoor_cycle04
2026-07-13 15:00:00,26.68,49.92,24.97,211.1,indoor,indoor_cycle04
